number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_dropout2d,params_fc_mid,params_lr,params_optimizer_type,params_scheduler_type,params_weight_decay,state
29,34.75,2025-10-16 12:16:45.049133,2025-10-16 12:43:33.252566,0 days 00:26:48.203433,128,0.308089671947303,0.17452017545121556,192,0.0020144015831281576,adamw,cosine,0.0005849010146786437,PRUNED
30,35.48,2025-10-16 12:43:33.254380,2025-10-16 12:45:14.415649,0 days 00:01:41.161269,256,0.3425284607045435,0.12623780751053643,256,0.00016164269023395268,adam,cosine,0.0008851764294927185,PRUNED
31,43.55,2025-10-16 12:45:14.416926,2025-10-16 12:58:56.074596,0 days 00:13:41.657670,512,0.3919007295579346,0.1269581393954601,128,0.0009515970295864555,adam,cosine,4.8662796918302543e-05,PRUNED
32,32.99,2025-10-16 12:58:56.076276,2025-10-16 13:00:41.401109,0 days 00:01:45.324833,128,0.37872011943451045,0.23308183439794242,256,0.00011613431384931653,adam,none,0.00038412640878007076,PRUNED
33,34.74,2025-10-16 13:00:41.402553,2025-10-16 13:02:26.121674,0 days 00:01:44.719121,128,0.31414247149957725,0.1635467151795593,128,0.000166499000569298,adam,cosine,0.000953192366499505,PRUNED
34,46.05,2025-10-16 13:02:26.123624,2025-10-16 13:07:42.265909,0 days 00:05:16.142285,128,0.30544357035564457,0.10646433299971851,128,0.0004887995587025603,adamw,cosine,5.6177513586911315e-05,PRUNED
35,45.65,2025-10-16 13:07:42.271458,2025-10-16 13:12:43.079795,0 days 00:05:00.808337,128,0.3448449747662329,0.12385016646975061,128,0.0007374076746374234,adam,none,6.731087506727628e-05,PRUNED
36,45.35,2025-10-16 13:12:43.081954,2025-10-16 13:17:17.283438,0 days 00:04:34.201484,256,0.36113680681329136,0.1612608991459532,256,0.0006263329652407977,adamw,none,0.00030105750880034656,PRUNED
37,45.61,2025-10-16 13:17:17.284982,2025-10-16 13:21:26.050727,0 days 00:04:08.765745,256,0.3545059665046215,0.11338260350548825,256,0.0008755928797791702,adam,none,3.530688127986355e-05,PRUNED
38,45.36,2025-10-16 13:21:26.052160,2025-10-16 13:25:25.301743,0 days 00:03:59.249583,256,0.3872826446334802,0.10735187786510643,192,0.0005403074701055652,adamw,cosine,6.901230458789022e-05,PRUNED
39,45.59,2025-10-16 13:25:25.302836,2025-10-16 13:29:11.228259,0 days 00:03:45.925423,256,0.3841323384594938,0.10239606462963977,128,0.0007689779826180468,adam,none,0.0002015522251908488,PRUNED
40,33.43,2025-10-16 13:29:11.229374,2025-10-16 13:31:28.823734,0 days 00:02:17.594360,512,0.33133623281536945,0.230741884062945,256,0.00047232269608147925,adam,cosine,0.0007793123787879967,PRUNED
41,45.31,2025-10-16 13:31:28.826163,2025-10-16 13:36:34.389745,0 days 00:05:05.563582,128,0.16744759737864387,0.16846482547620556,256,0.000280123585171253,adamw,cosine,6.711330084073017e-05,PRUNED
42,35.58,2025-10-16 13:36:34.391255,2025-10-16 13:38:20.060507,0 days 00:01:45.669252,128,0.21388319705200493,0.18843880373308308,256,0.0017861410018591775,adamw,cosine,2.940338790865051e-05,PRUNED
43,36.37,2025-10-16 13:38:20.062347,2025-10-16 13:40:07.087689,0 days 00:01:47.025342,256,0.37983683422801046,0.11954461380480318,128,0.0008546958002106702,adam,cosine,8.064081657199111e-05,PRUNED
44,44.7,2025-10-16 13:40:07.089576,2025-10-16 13:43:36.044979,0 days 00:03:28.955403,512,0.21771119278784845,0.1643617466891634,256,0.002022318444926346,adamw,cosine,0.00018000658041355386,PRUNED
45,46.67,2025-10-16 13:43:36.046877,2025-10-16 13:50:09.997833,0 days 00:06:33.950956,128,0.3407910615431965,0.1615798527128804,256,0.0005674912776972575,adamw,cosine,0.0005256453100189517,PRUNED
46,44.75,2025-10-16 13:50:09.998895,2025-10-16 13:54:07.061287,0 days 00:03:57.062392,256,0.27715925251528123,0.11259196333758983,192,0.00042380438406585763,adam,none,0.0005349844670589739,PRUNED
47,45.66,2025-10-16 13:54:07.063927,2025-10-16 13:58:08.735676,0 days 00:04:01.671749,256,0.1631316685011906,0.21312006261954033,256,0.0006298362928150282,adamw,cosine,3.0137784350771547e-05,PRUNED
48,39.01,2025-10-16 13:58:08.736904,2025-10-16 14:21:40.186053,0 days 00:23:31.449149,128,0.21595711849008997,0.28847649734425374,256,0.0007561436848260854,adamw,none,4.535689892952804e-05,PRUNED
49,32.26,2025-10-16 14:21:40.188522,2025-10-16 14:23:31.830885,0 days 00:01:51.642363,256,0.31906532324288184,0.13713689295560086,192,0.0035001521979223468,adam,cosine,0.00012367025590865667,PRUNED
50,32.49,2025-10-16 14:23:31.832757,2025-10-16 14:25:23.887110,0 days 00:01:52.054353,256,0.3655253985802983,0.1313353990701406,256,0.0010350361907658996,adam,cosine,0.0009039393518990205,PRUNED
51,39.37,2025-10-16 14:25:23.889092,2025-10-16 14:27:34.159153,0 days 00:02:10.270061,128,0.12778756829046348,0.30204216915163556,256,0.0008030102564486201,adamw,cosine,4.3796434586702026e-05,PRUNED
52,45.26,2025-10-16 14:27:34.161433,2025-10-16 14:31:15.046859,0 days 00:03:40.885426,128,0.17984650169004204,0.253839272598294,192,0.00030255029222131985,adamw,cosine,2.7902488565304788e-05,PRUNED
53,35.01,2025-10-16 14:31:15.048235,2025-10-16 14:32:59.306673,0 days 00:01:44.258438,128,0.26495686442294597,0.3032735372426569,256,0.00027113559632568776,adamw,cosine,1.8759129084092402e-05,PRUNED
54,34.81,2025-10-16 14:32:59.308694,2025-10-16 14:34:43.493051,0 days 00:01:44.184357,512,0.22656210062996268,0.22083086303913335,128,0.0006489109398736013,adamw,cosine,2.857179633691098e-05,PRUNED
55,32.38,2025-10-16 14:34:43.494773,2025-10-16 14:36:28.151475,0 days 00:01:44.656702,128,0.33660657989890397,0.17076511040109066,256,0.0017190435999302142,adam,cosine,0.00043716287502735705,PRUNED
56,30.56,2025-10-16 14:36:28.153190,2025-10-16 14:38:11.272726,0 days 00:01:43.119536,128,0.38766378549268987,0.10269409795331898,192,0.00278796607933742,adam,cosine,0.0003371173026485561,PRUNED
57,45.81,2025-10-16 14:38:11.275215,2025-10-16 14:42:03.568675,0 days 00:03:52.293460,128,0.12715762705166322,0.2097375054963077,128,0.00033370187088119945,adamw,cosine,2.785896679308655e-05,PRUNED
58,42.67,2025-10-16 14:42:03.569760,2025-10-16 14:47:53.095771,0 days 00:05:49.526011,128,0.1647010444909906,0.23716503418105733,256,0.00023776430271271956,adam,cosine,6.944082115296775e-05,PRUNED
59,36.29,2025-10-16 14:47:53.097392,2025-10-16 14:54:44.592495,0 days 00:06:51.495103,128,0.1898520607596101,0.2074039679834755,256,0.00016764790228855254,adamw,cosine,1.3813622295245729e-05,PRUNED
60,29.79,2025-10-16 14:54:44.595412,2025-10-16 14:56:37.999099,0 days 00:01:53.403687,256,0.10789479916292924,0.308643658535952,256,0.0001075713035209275,adamw,cosine,2.745845181283529e-05,PRUNED
61,30.66,2025-10-16 14:56:38.003222,2025-10-16 15:13:38.148296,0 days 00:17:00.145074,128,0.1343680235537367,0.3761376207806852,256,0.00013010933265745705,adamw,none,2.514175402502436e-05,PRUNED
62,33.04,2025-10-16 15:13:38.151766,2025-10-16 15:15:48.190446,0 days 00:02:10.038680,128,0.13003017504034536,0.3648131732659134,256,0.00023367607194787405,adamw,cosine,3.508822141956247e-05,PRUNED
63,31.89,2025-10-16 15:15:48.193021,2025-10-16 15:17:30.810311,0 days 00:01:42.617290,512,0.19781149240587037,0.26631786992263795,256,0.0002299677671088551,adamw,cosine,2.1512957226035883e-05,PRUNED
64,28.23,2025-10-16 15:17:30.812490,2025-10-16 15:19:12.536919,0 days 00:01:41.724429,128,0.1462033798455743,0.3622480577572317,128,0.0001016800508672812,adamw,cosine,8.258797549247193e-05,PRUNED
65,29.74,2025-10-16 15:19:12.538420,2025-10-16 15:20:56.227903,0 days 00:01:43.689483,128,0.12120929972560356,0.3916939685035405,192,0.00013584086323185695,adamw,cosine,3.5092459916133764e-05,PRUNED
66,43.9,2025-10-16 15:20:56.230067,2025-10-16 15:23:52.952256,0 days 00:02:56.722189,128,0.33442265660295684,0.14933319355644417,192,0.00028148628494055055,adam,cosine,0.00013829018995060386,PRUNED
67,48.53,2025-10-16 15:23:52.954007,2025-10-16 16:14:10.572413,0 days 00:50:17.618406,256,0.3148680600978568,0.13170479469109458,192,0.0005890193979341738,adam,cosine,0.00031742623977831753,COMPLETE
68,35.61,2025-10-16 16:14:10.575983,2025-10-16 16:15:13.863185,0 days 00:01:03.287202,256,0.3042504094253221,0.19626476046464836,192,0.00022873999097131932,adam,cosine,0.00034414818630951064,PRUNED
69,45.44,2025-10-16 16:15:13.865634,2025-10-16 16:19:09.324758,0 days 00:03:55.459124,256,0.3552514538444401,0.11181433875032999,192,0.0008315373119423814,adam,cosine,0.00010521642399038434,PRUNED
70,39.82,2025-10-16 16:19:09.325909,2025-10-16 16:21:17.282216,0 days 00:02:07.956307,256,0.297257052876999,0.11971591968647859,128,0.0002749080233490938,adam,cosine,0.0004298951054307108,PRUNED
71,30.06,2025-10-16 16:21:17.283587,2025-10-16 16:23:00.663172,0 days 00:01:43.379585,256,0.31552572419406055,0.3866964025191736,192,0.00025773732283476447,adamw,cosine,0.0001754878527010581,PRUNED
72,38.83,2025-10-16 16:23:00.665112,2025-10-16 16:25:05.794539,0 days 00:02:05.129427,256,0.39589597407045496,0.20681288892714225,256,0.00046256439412158535,adam,cosine,0.00013644617502097756,PRUNED
73,35.6,2025-10-16 16:25:05.796995,2025-10-16 16:26:49.304618,0 days 00:01:43.507623,256,0.2639713510587749,0.16248423288776145,192,0.0008116024433861544,adam,cosine,0.0003486888024779524,PRUNED
74,30.39,2025-10-16 16:26:49.307255,2025-10-16 16:28:33.010342,0 days 00:01:43.703087,128,0.2144663665210415,0.2617647242800456,256,0.00323243319308794,adam,cosine,6.804807664371366e-05,PRUNED
75,39.47,2025-10-16 16:28:33.013805,2025-10-16 16:30:40.069239,0 days 00:02:07.055434,128,0.3628225600295335,0.1439834539993258,256,0.00015692165620799102,adam,cosine,0.0003493688234463103,PRUNED
76,44.07,2025-10-16 16:30:40.071608,2025-10-16 16:33:39.538663,0 days 00:02:59.467055,128,0.11187663080120064,0.11888073731483742,256,0.0010536208950996315,adamw,cosine,3.663605519887931e-05,PRUNED
77,34.98,2025-10-16 16:33:39.540396,2025-10-16 16:35:21.225716,0 days 00:01:41.685320,128,0.1934419134409748,0.19569721654767783,128,0.001830003600564995,adamw,cosine,8.677391322677253e-05,PRUNED
78,30.5,2025-10-16 16:35:21.228139,2025-10-16 16:37:03.280229,0 days 00:01:42.052090,128,0.13720652770433905,0.39875753272617753,256,0.0001865940363327627,adamw,cosine,1.242557246658837e-05,PRUNED
79,31.6,2025-10-16 16:37:03.282288,2025-10-16 16:38:46.012757,0 days 00:01:42.730469,512,0.3141953899361155,0.1326833425539395,192,0.00362173878778983,adam,cosine,0.00039823678669720933,PRUNED
80,29.26,2025-10-16 16:38:46.015062,2025-10-16 16:40:31.112534,0 days 00:01:45.097472,128,0.12662076319850962,0.39414276000201137,256,0.00013162611310603333,adam,cosine,1.7413626035513645e-05,PRUNED
81,35.53,2025-10-16 16:40:31.115310,2025-10-16 16:42:14.102361,0 days 00:01:42.987051,256,0.1169220072315888,0.2735536019752768,192,0.0011778005696222572,adam,none,1.3660752284789033e-05,PRUNED
