number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_dropout2d,params_fc_mid,params_lr,params_optimizer_type,params_scheduler_type,params_weight_decay,state
128,41.05,2025-10-16 18:35:25.468743,2025-10-16 18:37:40.347526,0 days 00:02:14.878783,256,0.3555524401944048,0.11048898147880724,192,0.0005496432044924898,adam,cosine,0.0006137274681604128,PRUNED
129,39.03,2025-10-16 18:37:40.348973,2025-10-16 18:39:39.461029,0 days 00:01:59.112056,256,0.3360088571783482,0.17608718929796444,256,0.0002337441456596027,adamw,cosine,0.0005751510518721639,PRUNED
130,45.68,2025-10-16 18:39:39.462968,2025-10-16 18:43:37.481623,0 days 00:03:58.018655,128,0.23387758252599108,0.1755161372670199,256,0.0007162462558401069,adamw,cosine,4.2324774474967966e-05,PRUNED
131,45.99,2025-10-16 18:43:37.483056,2025-10-16 18:47:57.102909,0 days 00:04:19.619853,256,0.37270371846232975,0.1682591543240407,256,0.0009473126412328791,adamw,cosine,0.0006196468763780684,PRUNED
132,47.02,2025-10-16 18:47:57.104177,2025-10-16 18:54:55.217185,0 days 00:06:58.113008,128,0.38586356882015066,0.1393154875051811,256,0.0007251179747086921,adamw,cosine,6.572698247498594e-05,PRUNED
133,45.89,2025-10-16 18:54:55.220248,2025-10-16 18:58:52.487708,0 days 00:03:57.267460,128,0.38858588396731747,0.14339049414617389,256,0.0010299758658188357,adamw,cosine,5.6443181513952396e-05,PRUNED
134,35.78,2025-10-16 18:58:52.489134,2025-10-16 19:00:37.418886,0 days 00:01:44.929752,128,0.28089967307641506,0.18772660623182313,256,0.0004976693548561482,adam,cosine,0.0006724058796411887,PRUNED
135,36.31,2025-10-16 19:00:37.420446,2025-10-16 19:02:26.145333,0 days 00:01:48.724887,256,0.34111168116410684,0.2253072055480977,256,0.0005545059704785353,adamw,cosine,8.607526836303387e-05,PRUNED
136,35.87,2025-10-16 19:02:26.147927,2025-10-16 19:04:11.439440,0 days 00:01:45.291513,256,0.3672231550063683,0.14271921809335159,128,0.0011220756882953358,adam,cosine,0.00011396259615924808,PRUNED
137,37.41,2025-10-16 19:04:11.441704,2025-10-16 19:06:06.101304,0 days 00:01:54.659600,256,0.32231352861123996,0.17033893323125324,256,0.0008613022623818063,adam,cosine,0.0004946532674926672,PRUNED
138,27.56,2025-10-16 19:06:06.102739,2025-10-16 19:07:48.668318,0 days 00:01:42.565579,512,0.18690025543639466,0.36326179225103644,192,0.00017474708802360005,adamw,none,0.0007728308710386746,PRUNED
139,30.76,2025-10-16 19:07:48.669774,2025-10-16 19:09:32.472744,0 days 00:01:43.802970,128,0.17886507321898468,0.3842195042638447,128,0.00021791353376764998,adamw,cosine,1.3055153486917913e-05,PRUNED
140,32.04,2025-10-16 19:09:32.474123,2025-10-16 19:11:18.939762,0 days 00:01:46.465639,128,0.10336741133194692,0.32707054489463233,192,0.0018269046836747133,adamw,none,2.5548985701582866e-05,PRUNED
141,30.12,2025-10-16 19:11:18.941795,2025-10-16 19:13:04.533007,0 days 00:01:45.591212,256,0.2978472268043151,0.33834332819604296,192,0.0001681906457656219,adamw,none,0.0006958895664854365,PRUNED
142,45.81,2025-10-16 19:13:04.535460,2025-10-16 19:16:59.836207,0 days 00:03:55.300747,128,0.3731202026015835,0.14008758480526967,256,0.0005808262906680301,adamw,none,5.070272311236333e-05,PRUNED
143,40.55,2025-10-16 19:16:59.837548,2025-10-16 19:19:11.579894,0 days 00:02:11.742346,128,0.3772085790935066,0.1793647812596634,128,0.00051792324628725,adamw,cosine,7.357193329231053e-05,PRUNED
144,47.03,2025-10-16 19:19:11.581675,2025-10-16 19:26:05.707710,0 days 00:06:54.126035,128,0.3640912004439226,0.13696153518908985,256,0.0003066903827206891,adamw,cosine,6.880095747753349e-05,PRUNED
145,44.81,2025-10-16 19:26:05.709415,2025-10-16 19:29:30.568609,0 days 00:03:24.859194,128,0.3776935940143542,0.10475213252800489,256,0.00021230783176860493,adamw,cosine,2.0016922176244986e-05,PRUNED
146,46.38,2025-10-16 19:29:30.570811,2025-10-16 19:35:14.910740,0 days 00:05:44.339929,128,0.29917060305689325,0.11293881472255458,192,0.00041085137338461294,adamw,cosine,5.603345291309022e-05,PRUNED
147,22.6,2025-10-16 19:35:14.912665,2025-10-16 19:37:10.496098,0 days 00:01:55.583433,512,0.3540455412939877,0.38513454996859087,192,0.00011510820434683287,adamw,none,0.0004853550245675201,PRUNED
148,35.57,2025-10-16 19:37:10.498180,2025-10-16 19:39:00.234686,0 days 00:01:49.736506,128,0.3457916889385211,0.11669863064336491,256,0.002097908027004456,adam,cosine,7.768270384390268e-05,PRUNED
149,44.34,2025-10-16 19:39:00.237557,2025-10-16 19:42:04.685123,0 days 00:03:04.447566,128,0.30099968606302674,0.1120378023262718,192,0.00039970078580273203,adam,cosine,0.00048582275407410227,PRUNED
150,35.29,2025-10-16 19:42:04.686372,2025-10-16 19:48:24.146627,0 days 00:06:19.460255,256,0.3518158898198456,0.15253245875957136,128,0.002396601947861344,adam,cosine,1.8617862255688618e-05,PRUNED
151,47.39,2025-10-16 19:48:24.150284,2025-10-16 19:55:30.662035,0 days 00:07:06.511751,128,0.36955945841055626,0.15019908932603648,192,0.0007471341972714677,adamw,cosine,2.1791259646572548e-05,PRUNED
152,35.93,2025-10-16 19:55:30.663892,2025-10-16 19:57:18.898117,0 days 00:01:48.234225,512,0.3801722639157703,0.1565262169581688,192,0.0009519908749325246,adamw,cosine,5.9936091496115985e-05,PRUNED
153,35.72,2025-10-16 19:57:18.900286,2025-10-16 19:59:06.572233,0 days 00:01:47.671947,128,0.3434296622151862,0.18505896737546504,192,0.0020199529443523235,adamw,cosine,1.4964731568200119e-05,PRUNED
154,43.68,2025-10-16 19:59:06.573624,2025-10-16 20:02:16.503476,0 days 00:03:09.929852,256,0.329607461418436,0.15840773042878656,192,0.0003439521869289272,adamw,cosine,1.269819222976203e-05,PRUNED
155,40.6,2025-10-16 20:02:16.504681,2025-10-16 20:04:30.872597,0 days 00:02:14.367916,256,0.3987123490117188,0.10262520017655269,128,0.0012296765062719958,adamw,cosine,4.869383211445431e-05,PRUNED
156,33.49,2025-10-16 20:04:30.874428,2025-10-16 20:06:18.334442,0 days 00:01:47.460014,128,0.13163870364967628,0.2620488115340357,256,0.00012229557905900435,adamw,cosine,1.9277877034128842e-05,PRUNED
157,36.05,2025-10-16 20:06:18.336245,2025-10-16 20:08:07.376786,0 days 00:01:49.040541,128,0.38831828984399497,0.12887447617040518,192,0.00011056054831117453,adamw,none,2.987824348917925e-05,PRUNED
158,35.95,2025-10-16 20:08:07.378709,2025-10-16 20:09:57.282590,0 days 00:01:49.903881,128,0.38545180004376783,0.11064566081201474,192,0.0014582150197628352,adamw,cosine,2.3264242690688183e-05,PRUNED
159,47.48,2025-10-16 20:09:57.284527,2025-10-16 20:18:38.969336,0 days 00:08:41.684809,128,0.37750365037329175,0.1620175559057122,256,0.00045139357333783047,adamw,cosine,6.072688066900569e-05,PRUNED
